Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__007.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__010.smt2.slack.smt2,53.35%
10-vars/v10_problem_2__013.smt2.slack.smt2,90.96%
10-vars/v10_problem_2__014.smt2.slack.smt2,84.22%
10-vars/v10_problem_2__015.smt2.slack.smt2,88.87%
10-vars/v10_problem_2__018.smt2.slack.smt2,0.0%
10-vars/v10_problem__003.smt2.slack.smt2,0.0%
10-vars/v10_problem__006.smt2.slack.smt2,13.49%
10-vars/v10_problem__009.smt2.slack.smt2,86.8%
10-vars/v10_problem__012.smt2.slack.smt2,0.0%
10-vars/v10_problem__014.smt2.slack.smt2,91.38%
10-vars/v10_problem__015.smt2.slack.smt2,90.76%
10-vars/v10_problem__018.smt2.slack.smt2,90.75%
10-vars/v10_problem__019.smt2.slack.smt2,89.8%
15-vars/v15_problem_2__009.smt2.slack.smt2,0.0%
15-vars/v15_problem_2__013.smt2.slack.smt2,92.52%
15-vars/v15_problem_2__014.smt2.slack.smt2,93.18%
15-vars/v15_problem_2__015.smt2.slack.smt2,93.06%
15-vars/v15_problem_2__016.smt2.slack.smt2,93.34%
15-vars/v15_problem_2__018.smt2.slack.smt2,93.47%
15-vars/v15_problem__003.smt2.slack.smt2,92.89%
15-vars/v15_problem__005.smt2.slack.smt2,0.0%
15-vars/v15_problem__006.smt2.slack.smt2,78.09%
15-vars/v15_problem__007.smt2.slack.smt2,92.3%
15-vars/v15_problem__008.smt2.slack.smt2,5.99%
15-vars/v15_problem__011.smt2.slack.smt2,93.0%
15-vars/v15_problem__014.smt2.slack.smt2,89.43%
15-vars/v15_problem__017.smt2.slack.smt2,21.53%
15-vars/v15_problem__021.smt2.slack.smt2,93.33%
20-vars/v20_problem_2__005.smt2.slack.smt2,93.21%
20-vars/v20_problem_2__012.smt2.slack.smt2,94.6%
20-vars/v20_problem_2__013.smt2.slack.smt2,95.58%
20-vars/v20_problem_2__016.smt2.slack.smt2,95.8%
20-vars/v20_problem_2__018.smt2.slack.smt2,94.62%
20-vars/v20_problem_2__035.smt2.slack.smt2,95.29%
20-vars/v20_problem__001.smt2.slack.smt2,27.01%
20-vars/v20_problem__002.smt2.slack.smt2,95.03%
20-vars/v20_problem__004.smt2.slack.smt2,0.0%
20-vars/v20_problem__010.smt2.slack.smt2,0.0%
20-vars/v20_problem__011.smt2.slack.smt2,94.48%
20-vars/v20_problem__020.smt2.slack.smt2,94.59%
20-vars/v20_problem__021.smt2.slack.smt2,93.97%
20-vars/v20_problem__028.smt2.slack.smt2,0.0%
20-vars/v20_problem__030.smt2.slack.smt2,95.08%
25-vars/v25_problem_2__014.smt2.slack.smt2,95.38%
25-vars/v25_problem_2__019.smt2.slack.smt2,95.6%
25-vars/v25_problem_2__021.smt2.slack.smt2,94.61%
25-vars/v25_problem_2__022.smt2.slack.smt2,95.59%
25-vars/v25_problem_2__023.smt2.slack.smt2,95.57%
25-vars/v25_problem_2__025.smt2.slack.smt2,95.55%
25-vars/v25_problem_2__034.smt2.slack.smt2,95.05%
25-vars/v25_problem__004.smt2.slack.smt2,90.01%
25-vars/v25_problem__005.smt2.slack.smt2,94.42%
25-vars/v25_problem__008.smt2.slack.smt2,94.63%
25-vars/v25_problem__013.smt2.slack.smt2,0.0%
25-vars/v25_problem__014.smt2.slack.smt2,93.91%
25-vars/v25_problem__016.smt2.slack.smt2,95.34%
25-vars/v25_problem__017.smt2.slack.smt2,95.31%
25-vars/v25_problem__033.smt2.slack.smt2,95.06%
30-vars/v30_problem_2__008.smt2.slack.smt2,58.37%
30-vars/v30_problem_2__010.smt2.slack.smt2,88.92%
30-vars/v30_problem_2__012.smt2.slack.smt2,95.74%
30-vars/v30_problem_2__014.smt2.slack.smt2,60.58%
30-vars/v30_problem_2__017.smt2.slack.smt2,96.55%
30-vars/v30_problem_2__018.smt2.slack.smt2,95.85%
30-vars/v30_problem_2__020.smt2.slack.smt2,96.69%
30-vars/v30_problem_2__024.smt2.slack.smt2,95.27%
30-vars/v30_problem__004.smt2.slack.smt2,95.32%
30-vars/v30_problem__006.smt2.slack.smt2,92.37%
30-vars/v30_problem__009.smt2.slack.smt2,95.32%
30-vars/v30_problem__013.smt2.slack.smt2,94.91%
30-vars/v30_problem__017.smt2.slack.smt2,95.77%
30-vars/v30_problem__024.smt2.slack.smt2,95.15%
30-vars/v30_problem__026.smt2.slack.smt2,96.13%
35-vars/v35_problem_2__004.smt2.slack.smt2,89.29%
35-vars/v35_problem_2__021.smt2.slack.smt2,95.64%
35-vars/v35_problem_2__023.smt2.slack.smt2,96.38%
35-vars/v35_problem_2__026.smt2.slack.smt2,96.29%
35-vars/v35_problem_2__028.smt2.slack.smt2,96.4%
35-vars/v35_problem_2__034.smt2.slack.smt2,96.6%
35-vars/v35_problem__004.smt2.slack.smt2,0.0%
35-vars/v35_problem__006.smt2.slack.smt2,95.64%
35-vars/v35_problem__013.smt2.slack.smt2,96.06%
35-vars/v35_problem__015.smt2.slack.smt2,96.03%
35-vars/v35_problem__016.smt2.slack.smt2,96.3%
35-vars/v35_problem__018.smt2.slack.smt2,96.36%
35-vars/v35_problem__026.smt2.slack.smt2,96.4%
35-vars/v35_problem__028.smt2.slack.smt2,96.52%
35-vars/v35_problem__030.smt2.slack.smt2,96.48%
40-vars/v40_problem_2__009.smt2.slack.smt2,94.96%
40-vars/v40_problem_2__017.smt2.slack.smt2,96.58%
40-vars/v40_problem_2__018.smt2.slack.smt2,96.4%
