Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,0.00%
10-vars/v10_problem_2__007.smt2.slack.smt2,11.49%
10-vars/v10_problem_2__010.smt2.slack.smt2,7.01%
10-vars/v10_problem_2__013.smt2.slack.smt2,31.67%
10-vars/v10_problem_2__014.smt2.slack.smt2,0.00%
10-vars/v10_problem_2__015.smt2.slack.smt2,28.05%
10-vars/v10_problem_2__018.smt2.slack.smt2,0.00%
10-vars/v10_problem__003.smt2.slack.smt2,0.00%
10-vars/v10_problem__006.smt2.slack.smt2,7.80%
10-vars/v10_problem__009.smt2.slack.smt2,34.81%
10-vars/v10_problem__012.smt2.slack.smt2,0.00%
10-vars/v10_problem__014.smt2.slack.smt2,38.36%
10-vars/v10_problem__015.smt2.slack.smt2,42.36%
10-vars/v10_problem__018.smt2.slack.smt2,33.02%
10-vars/v10_problem__019.smt2.slack.smt2,24.07%
15-vars/v15_problem_2__009.smt2.slack.smt2,16.74%
15-vars/v15_problem_2__013.smt2.slack.smt2,51.44%
15-vars/v15_problem_2__014.smt2.slack.smt2,82.44%
15-vars/v15_problem_2__015.smt2.slack.smt2,88.33%
15-vars/v15_problem_2__016.smt2.slack.smt2,82.26%
15-vars/v15_problem_2__018.smt2.slack.smt2,54.17%
15-vars/v15_problem__003.smt2.slack.smt2,48.80%
15-vars/v15_problem__005.smt2.slack.smt2,0.00%
15-vars/v15_problem__006.smt2.slack.smt2,11.01%
15-vars/v15_problem__007.smt2.slack.smt2,51.60%
15-vars/v15_problem__008.smt2.slack.smt2,0.00%
15-vars/v15_problem__011.smt2.slack.smt2,48.42%
15-vars/v15_problem__014.smt2.slack.smt2,54.18%
15-vars/v15_problem__017.smt2.slack.smt2,22.29%
15-vars/v15_problem__021.smt2.slack.smt2,49.12%
20-vars/v20_problem_2__005.smt2.slack.smt2,37.40%
20-vars/v20_problem_2__012.smt2.slack.smt2,54.46%
20-vars/v20_problem_2__013.smt2.slack.smt2,57.67%
20-vars/v20_problem_2__016.smt2.slack.smt2,49.06%
20-vars/v20_problem_2__018.smt2.slack.smt2,55.91%
20-vars/v20_problem_2__035.smt2.slack.smt2,95.29%
20-vars/v20_problem__001.smt2.slack.smt2,0.00%
20-vars/v20_problem__002.smt2.slack.smt2,50.76%
20-vars/v20_problem__004.smt2.slack.smt2,19.15%
