Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,71.39%
10-vars/v10_problem_2__007.smt2.slack.smt2,68.34%
10-vars/v10_problem_2__010.smt2.slack.smt2,69.92%
10-vars/v10_problem_2__013.smt2.slack.smt2,58.99%
10-vars/v10_problem_2__014.smt2.slack.smt2,62.81%
10-vars/v10_problem_2__015.smt2.slack.smt2,67.44%
10-vars/v10_problem_2__018.smt2.slack.smt2,66.36%
10-vars/v10_problem__003.smt2.slack.smt2,74.51%
10-vars/v10_problem__006.smt2.slack.smt2,70.85%
10-vars/v10_problem__009.smt2.slack.smt2,69.94%
10-vars/v10_problem__012.smt2.slack.smt2,71.51%
10-vars/v10_problem__014.smt2.slack.smt2,63.76%
10-vars/v10_problem__015.smt2.slack.smt2,69.50%
10-vars/v10_problem__018.smt2.slack.smt2,59.79%
10-vars/v10_problem__019.smt2.slack.smt2,63.55%
15-vars/v15_problem_2__009.smt2.slack.smt2,71.97%
15-vars/v15_problem_2__013.smt2.slack.smt2,71.58%
15-vars/v15_problem_2__014.smt2.slack.smt2,66.91%
15-vars/v15_problem_2__015.smt2.slack.smt2,65.62%
15-vars/v15_problem_2__016.smt2.slack.smt2,64.87%
15-vars/v15_problem_2__018.smt2.slack.smt2,66.76%
15-vars/v15_problem__003.smt2.slack.smt2,74.13%
15-vars/v15_problem__005.smt2.slack.smt2,72.98%
15-vars/v15_problem__006.smt2.slack.smt2,72.13%
15-vars/v15_problem__007.smt2.slack.smt2,70.30%
15-vars/v15_problem__008.smt2.slack.smt2,73.22%
15-vars/v15_problem__011.smt2.slack.smt2,68.77%
15-vars/v15_problem__014.smt2.slack.smt2,74.80%
15-vars/v15_problem__017.smt2.slack.smt2,47.52%
15-vars/v15_problem__021.smt2.slack.smt2,72.99%
20-vars/v20_problem_2__005.smt2.slack.smt2,69.16%
20-vars/v20_problem_2__012.smt2.slack.smt2,73.91%
20-vars/v20_problem_2__013.smt2.slack.smt2,73.00%
20-vars/v20_problem_2__016.smt2.slack.smt2,70.87%
20-vars/v20_problem_2__018.smt2.slack.smt2,68.06%
20-vars/v20_problem_2__035.smt2.slack.smt2,58.30%
20-vars/v20_problem__001.smt2.slack.smt2,71.54%
20-vars/v20_problem__002.smt2.slack.smt2,71.91%
20-vars/v20_problem__004.smt2.slack.smt2,72.27%
20-vars/v20_problem__010.smt2.slack.smt2,73.04%
20-vars/v20_problem__011.smt2.slack.smt2,71.29%
20-vars/v20_problem__020.smt2.slack.smt2,71.59%
20-vars/v20_problem__021.smt2.slack.smt2,63.14%
20-vars/v20_problem__028.smt2.slack.smt2,55.48%
20-vars/v20_problem__030.smt2.slack.smt2,67.37%
25-vars/v25_problem_2__014.smt2.slack.smt2,73.49%
25-vars/v25_problem_2__019.smt2.slack.smt2,70.77%
25-vars/v25_problem_2__021.smt2.slack.smt2,65.31%
25-vars/v25_problem_2__022.smt2.slack.smt2,71.73%
25-vars/v25_problem_2__023.smt2.slack.smt2,69.38%
25-vars/v25_problem_2__025.smt2.slack.smt2,72.41%
25-vars/v25_problem_2__034.smt2.slack.smt2,60.44%
25-vars/v25_problem__004.smt2.slack.smt2,73.30%
25-vars/v25_problem__005.smt2.slack.smt2,71.65%
25-vars/v25_problem__008.smt2.slack.smt2,73.23%
25-vars/v25_problem__013.smt2.slack.smt2,74.31%
25-vars/v25_problem__014.smt2.slack.smt2,70.95%
25-vars/v25_problem__016.smt2.slack.smt2,71.70%
25-vars/v25_problem__017.smt2.slack.smt2,71.47%
25-vars/v25_problem__033.smt2.slack.smt2,58.99%
30-vars/v30_problem_2__008.smt2.slack.smt2,74.21%
30-vars/v30_problem_2__010.smt2.slack.smt2,74.58%
30-vars/v30_problem_2__012.smt2.slack.smt2,73.06%
30-vars/v30_problem_2__014.smt2.slack.smt2,74.94%
30-vars/v30_problem_2__017.smt2.slack.smt2,74.11%
30-vars/v30_problem_2__018.smt2.slack.smt2,73.43%
30-vars/v30_problem_2__020.smt2.slack.smt2,73.89%
30-vars/v30_problem_2__024.smt2.slack.smt2,71.37%
30-vars/v30_problem__004.smt2.slack.smt2,73.53%
30-vars/v30_problem__006.smt2.slack.smt2,73.40%
30-vars/v30_problem__009.smt2.slack.smt2,72.50%
30-vars/v30_problem__013.smt2.slack.smt2,71.43%
30-vars/v30_problem__017.smt2.slack.smt2,71.13%
30-vars/v30_problem__024.smt2.slack.smt2,70.23%
30-vars/v30_problem__026.smt2.slack.smt2,65.31%
35-vars/v35_problem_2__004.smt2.slack.smt2,75.17%
35-vars/v35_problem_2__021.smt2.slack.smt2,67.45%
35-vars/v35_problem_2__023.smt2.slack.smt2,71.72%
35-vars/v35_problem_2__026.smt2.slack.smt2,67.21%
35-vars/v35_problem_2__028.smt2.slack.smt2,67.47%
35-vars/v35_problem_2__034.smt2.slack.smt2,68.46%
35-vars/v35_problem__004.smt2.slack.smt2,74.30%
35-vars/v35_problem__006.smt2.slack.smt2,74.60%
35-vars/v35_problem__013.smt2.slack.smt2,74.35%
35-vars/v35_problem__015.smt2.slack.smt2,73.31%
35-vars/v35_problem__016.smt2.slack.smt2,72.08%
35-vars/v35_problem__018.smt2.slack.smt2,74.48%
35-vars/v35_problem__026.smt2.slack.smt2,65.49%
35-vars/v35_problem__028.smt2.slack.smt2,71.97%
35-vars/v35_problem__030.smt2.slack.smt2,68.13%
40-vars/v40_problem_2__009.smt2.slack.smt2,74.94%
40-vars/v40_problem_2__017.smt2.slack.smt2,70.73%
40-vars/v40_problem_2__018.smt2.slack.smt2,73.09%
40-vars/v40_problem_2__020.smt2.slack.smt2,73.17%
40-vars/v40_problem_2__022.smt2.slack.smt2,74.39%
40-vars/v40_problem_2__023.smt2.slack.smt2,70.60%
40-vars/v40_problem_2__027.smt2.slack.smt2,70.02%
40-vars/v40_problem_2__034.smt2.slack.smt2,66.29%
