Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,58.76%
10-vars/v10_problem_2__007.smt2.slack.smt2,49.78%
10-vars/v10_problem_2__010.smt2.slack.smt2,51.80%
10-vars/v10_problem_2__013.smt2.slack.smt2,33.32%
10-vars/v10_problem_2__014.smt2.slack.smt2,35.77%
10-vars/v10_problem_2__015.smt2.slack.smt2,45.34%
10-vars/v10_problem_2__018.smt2.slack.smt2,46.69%
10-vars/v10_problem__003.smt2.slack.smt2,59.07%
10-vars/v10_problem__006.smt2.slack.smt2,53.84%
10-vars/v10_problem__009.smt2.slack.smt2,50.41%
10-vars/v10_problem__012.smt2.slack.smt2,55.07%
10-vars/v10_problem__014.smt2.slack.smt2,42.37%
10-vars/v10_problem__015.smt2.slack.smt2,45.92%
10-vars/v10_problem__018.smt2.slack.smt2,34.85%
10-vars/v10_problem__019.smt2.slack.smt2,29.99%
15-vars/v15_problem_2__009.smt2.slack.smt2,50.42%
15-vars/v15_problem_2__013.smt2.slack.smt2,51.06%
15-vars/v15_problem_2__014.smt2.slack.smt2,32.74%
15-vars/v15_problem_2__015.smt2.slack.smt2,41.36%
15-vars/v15_problem_2__016.smt2.slack.smt2,27.47%
15-vars/v15_problem_2__018.smt2.slack.smt2,46.25%
15-vars/v15_problem__003.smt2.slack.smt2,56.71%
15-vars/v15_problem__005.smt2.slack.smt2,54.78%
15-vars/v15_problem__006.smt2.slack.smt2,53.03%
15-vars/v15_problem__007.smt2.slack.smt2,48.56%
15-vars/v15_problem__008.smt2.slack.smt2,55.16%
15-vars/v15_problem__011.smt2.slack.smt2,48.70%
15-vars/v15_problem__014.smt2.slack.smt2,41.35%
15-vars/v15_problem__017.smt2.slack.smt2,28.82%
15-vars/v15_problem__021.smt2.slack.smt2,40.50%
20-vars/v20_problem_2__005.smt2.slack.smt2,45.07%
20-vars/v20_problem_2__012.smt2.slack.smt2,42.95%
20-vars/v20_problem_2__013.smt2.slack.smt2,52.89%
20-vars/v20_problem_2__016.smt2.slack.smt2,36.30%
20-vars/v20_problem_2__018.smt2.slack.smt2,34.82%
20-vars/v20_problem_2__035.smt2.slack.smt2,35.54%
20-vars/v20_problem__001.smt2.slack.smt2,50.74%
20-vars/v20_problem__002.smt2.slack.smt2,48.37%
20-vars/v20_problem__004.smt2.slack.smt2,49.70%
20-vars/v20_problem__010.smt2.slack.smt2,52.73%
20-vars/v20_problem__011.smt2.slack.smt2,44.97%
20-vars/v20_problem__020.smt2.slack.smt2,39.16%
20-vars/v20_problem__021.smt2.slack.smt2,39.01%
20-vars/v20_problem__028.smt2.slack.smt2,32.00%
20-vars/v20_problem__030.smt2.slack.smt2,33.97%
