Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,62.92%
10-vars/v10_problem_2__007.smt2.slack.smt2,67.11%
10-vars/v10_problem_2__010.smt2.slack.smt2,66.82%
10-vars/v10_problem_2__013.smt2.slack.smt2,59.09%
10-vars/v10_problem_2__014.smt2.slack.smt2,62.45%
10-vars/v10_problem_2__015.smt2.slack.smt2,65.42%
10-vars/v10_problem_2__018.smt2.slack.smt2,63.61%
10-vars/v10_problem__003.smt2.slack.smt2,66.27%
10-vars/v10_problem__006.smt2.slack.smt2,66.80%
10-vars/v10_problem__009.smt2.slack.smt2,66.02%
10-vars/v10_problem__012.smt2.slack.smt2,68.92%
10-vars/v10_problem__014.smt2.slack.smt2,63.80%
10-vars/v10_problem__015.smt2.slack.smt2,67.12%
10-vars/v10_problem__018.smt2.slack.smt2,58.99%
10-vars/v10_problem__019.smt2.slack.smt2,58.72%
15-vars/v15_problem_2__009.smt2.slack.smt2,71.65%
15-vars/v15_problem_2__013.smt2.slack.smt2,69.25%
15-vars/v15_problem_2__014.smt2.slack.smt2,58.85%
15-vars/v15_problem_2__015.smt2.slack.smt2,49.47%
15-vars/v15_problem_2__016.smt2.slack.smt2,37.17%
15-vars/v15_problem_2__018.smt2.slack.smt2,57.95%
15-vars/v15_problem__003.smt2.slack.smt2,70.64%
15-vars/v15_problem__005.smt2.slack.smt2,70.34%
15-vars/v15_problem__006.smt2.slack.smt2,68.82%
15-vars/v15_problem__007.smt2.slack.smt2,64.65%
15-vars/v15_problem__008.smt2.slack.smt2,67.39%
15-vars/v15_problem__011.smt2.slack.smt2,47.57%
15-vars/v15_problem__014.smt2.slack.smt2,72.39%
15-vars/v15_problem__017.smt2.slack.smt2,44.07%
15-vars/v15_problem__021.smt2.slack.smt2,67.48%
20-vars/v20_problem_2__005.smt2.slack.smt2,69.78%
20-vars/v20_problem_2__012.smt2.slack.smt2,65.69%
20-vars/v20_problem_2__013.smt2.slack.smt2,70.29%
